DESC. CIIU1,Direccion,latitud,longitud
Alojamiento En Hoteles,CR. 17 NO. 37-69 Bucaramanga SANTANDER Colombia,7.117160999999999,-73.12413099999999
Alojamiento En Hoteles,CL. 34 NO. 31-24 Bucaramanga SANTANDER Colombia,7.124601999999999,-73.113846
Alojamiento En Hoteles,CALLE 31 # 17 - 53 Bucaramanga SANTANDER Colombia,7.122102,-73.1257068
Alojamiento En Hoteles,Carrera 17 No. 37-31 Bucaramanga SANTANDER Colombia,7.117467,-73.124313
Alojamiento En Hoteles,CALLE 19 # 32 - 23 APARTAMENTO 1102 EDIFICIO ZINNIA Bucaramanga SANTANDER Colombia,7.3884159,-73.50286659999999
Alojamiento En Centros Vacacionales,CALLE 30 # 13 - 51 Bucaramanga SANTANDER Colombia,7.121458,-73.12905599999999
Alojamiento En Hoteles,CL.55 NO. 17A-112 BARRIO RICAUTE Bucaramanga SANTANDER Colombia,7.108735599999999,-73.1184382
Alojamiento En Hoteles,CARRERA 20 # 34 - 22 Bucaramanga SANTANDER Colombia,7.1206606,-73.1228478
Alojamiento En Hoteles,CALLE 56 # 17 B - 24 Bucaramanga SANTANDER Colombia,7.107777,-73.118433
Alojamiento En Hoteles,CALLE 31 # 20 - 17 BARRIO ALARCON Bucaramanga SANTANDER Colombia,7.1230561,-73.1235331
Alojamiento En Hoteles,CL. 54 NO. 17B-27 B. RICAURTE Bucaramanga SANTANDER Colombia,7.109485100000001,-73.11900279999999
Alojamiento En Hoteles,CR. 20 NO. 31-27 CENTRO Bucaramanga SANTANDER Colombia,7.1227228,-73.1235542
Alojamiento En Hoteles,CALLE 55 # 17 - 25 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia,7.1084206,-73.1197162
Alojamiento En Hoteles,CL. 31 NO. 20-62 CENTRO Bucaramanga SANTANDER Colombia,7.123157,-73.12315889999999
Alojamiento En Hoteles,CALLE 31 # 17 - 73 BARRIO EL CENTRO Bucaramanga SANTANDER Colombia,7.1221521,-73.12559159999999
Alojamiento En Hoteles,CALLE 55 NO. 17A-104 Bucaramanga SANTANDER Colombia,7.108690299999999,-73.1185026
Alojamiento En Hoteles,CR. 21 NO. 54-62 Bucaramanga SANTANDER Colombia,7.1097204,-73.11684520000001
Alojamiento En Hoteles,TERMINAL DE TRANSPORTES DE BUCARAMANGA MODULO 1 OFICINA 712 Bucaramanga SANTANDER Colombia,7.0880207,-73.1291097
Alojamiento En Hoteles,CL. 31 NO. 17-48 CENTRO Bucaramanga SANTANDER Colombia,7.1220047,-73.1257188
Alojamiento En Hoteles,CL. 55 NO. 17A - 49 CONCORDIA Bucaramanga SANTANDER Colombia,7.108418100000001,-73.119492
Alojamiento En Hoteles,CL. 31 NO. 18-67 CENTRO Bucaramanga SANTANDER Colombia,7.1225542,-73.1246702
Alojamiento En Hoteles,CL. 35 NO. 22 - 01 Bucaramanga SANTANDER Colombia,7.1206051,-73.1218213
Alojamiento En Hoteles,CR. 16 NO. 31-41 Bucaramanga SANTANDER Colombia,7.121122499999999,-73.1267673
Alojamiento En Hoteles,CL 55 N. 17A-94 Bucaramanga SANTANDER Colombia,7.1086354,-73.1184743
Alojamiento En Hoteles,CARRERA 16 # 30 - 56 Bucaramanga SANTANDER Colombia,7.121734,-73.127184
Alojamiento En Apartahoteles,CR. 20 NO. 31-89 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.122209,-73.1232349
Alojamiento En Hoteles,CRA 17 A NO 28-43  B. ALARCON Bucaramanga SANTANDER Colombia,7.1238645,-73.1262969
Alojamiento En Hoteles,CL. 31 NO. 18-53 HOTEL MANSION REAL Bucaramanga SANTANDER Colombia,7.122563899999999,-73.1248588
Alojamiento En Hoteles,CLL 31 NO. 21-90 Bucaramanga SANTANDER Colombia,7.1236659,-73.12224450000001
Alojamiento En Hoteles,CALLE 32 # 21 - 65 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.122911999999999,-73.12217799999999
