DESC. CIIU1;Direccion
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR. 14 NO. 24 - 76 BARRIO GRANADA-GIRARDOT Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;KM 4 VIA A PAMPLONA BUENAVISTA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR. 13 NO. 28-40 BARRIO GIRARDOT Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 59 # 17 C - 11 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL. 57 NO. 17A-22 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR. 30 NO. 13 -32 SAN ALONSO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 17 # 58 - 49 BARRIO BUENOS AIRES Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL. 14 NO. 24 - 74 BARRIO SAN FRANCISCO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CRA. 15  NO. 31-56 PISO 3 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR 2 NO. 26-02 GIRARDOT Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 45 # 1 OCCIDENTE - 02 BARRIO CAMPOHERMOSO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 14 W # 60 BIS - 95 Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 29 # 21 - 09 BARRIO SAN ALONSO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 22 # 56 - 52 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL. 70 NO. 44 W - 31 SECTOR EL BUENO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 24 # 11 - 63 BARRIO GRANADA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL. 28 NO. 15-14 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR. 35 NO. 51-115 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL. 33 NO. 20-05 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 21 # 30 - 69 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 27 # 1 - 89 BARRIO CAMILO TORRES Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL. 31 NO. 14 - 54 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17 # 22 - 34 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 13 W # 60 BIS 91 BARRIO BRISAS DEL MUTIS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CRA 27C NO 87-42  B. SAN MARTIN Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;BOULEVAR BOLIVAR # 20-38 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 105 # 22 - 12 PISO 2 BARRIO PROVENZA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 14 B # 45 - 08 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 21 # 30 - 55 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;AVENIDA SAMANES 9 - 140 LOCAL 102 CENTRO COMERCIAL ACROPOLIS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 5 # 40 - 01 BARRIO CAFE MADRID Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;AVENIDA LA ROSITA # 24 - 81 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 14 # 50 - 430 BARRIO MORRORICO LIMONCITO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 30 # 13 - 18 BARRIO LA UNIVERSIDAD Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 35 A # 49 - 55 ZONA COMUN PISO 5 CENTRO COMERCIAL CUARTA ETAPA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 28 # 15 - 28 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 22 # 17 - 75 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CR. 33 NO. 37-44 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 29 # 15 - 81 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 33 W # 71 - 61 LOTE 39 # 71 - 79 LOTE 40 URBANIZACIÓN PROVINCIA DE SOTO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 34 # 48 - 53 PISO 2 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 15 # 31 - 21 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;TRANSVERSAL 65 # 1 - 46 LOTE METROPOLITANO DE EVENTOS Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;DIAGONAL 15 # 45 - 52 UNIDAD3 EDIFICIO SARMIENTO PISO 1 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 31 # 14 OCCIDENTE - 162 BARRIO DON BOSCO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 54 # 18 - 02 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 32 # 14 - 35 - 39 PISO 2 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 15 # 45 - 96 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 16 # 33 - 38 - 48 LOCAL 36 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 13 # 22 - 45 LOCAL 9 BARRIO MUTUALIDAD Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17C # 56 - 72 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 105 # 16 - 69 BARRIO EL ROCIO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;VEREDA PORVENIR KILOMETRO 4 VIA MATANZA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 12 A # 23 - 17 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 16 # 31 - 30 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CRA 8 NO 9N- 155 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL 33 NO. 31 - 25 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 33 # 32 - 06 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17 A # 28 - 05 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 16 # 41 - 50 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 26 # 12 - 05 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 21 # 17 - 62 BARRIO SAN FRANCISCO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CL  22   12   02 BRR GIRARDOT Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CALLE 111 # 21 B - 34 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 33 A # 32 - PUESTO 6 PLAZA DE MERCADO GUARIN Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 17 # 24 - 21 Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CARRERA 15 # 31 - 18 INTERIOR 101 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 35 # 30 - 15 BARRIO MEJORAS PUBLICAS Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CALLE 58 # 4 - 04 BARRIO LOS NARANJOS Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CARRERA 44 # 65 - 66 TORRE A APARTAMENTO 502 EDIFICIO MONTANA Bucaramanga SANTANDER Colombia
Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento;CALLE 16 A # 8 - 41 BARRIO GAITAN Bucaramanga SANTANDER Colombia
Actividades De Otros Servicios De Comidas;CL 54   35 A   33 Bucaramanga SANTANDER Colombia
