DESC. CIIU1;Direccion
Alojamiento En Hoteles;CR. 17 NO. 37-69 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 34 NO. 31-24 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 31 # 17 - 53 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 17 No. 37-31 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 19 # 32 - 23 APARTAMENTO 1102 EDIFICIO ZINNIA Bucaramanga SANTANDER Colombia
Alojamiento En Centros Vacacionales;CALLE 30 # 13 - 51 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL.55 NO. 17A-112 BARRIO RICAUTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 20 # 34 - 22 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 17 B - 24 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 31 # 20 - 17 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 54 NO. 17B-27 B. RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR. 20 NO. 31-27 CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 - 25 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 31 NO. 20-62 CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 31 # 17 - 73 BARRIO EL CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 NO. 17A-104 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR. 21 NO. 54-62 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;TERMINAL DE TRANSPORTES DE BUCARAMANGA MODULO 1 OFICINA 712 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 31 NO. 17-48 CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 55 NO. 17A - 49 CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 31 NO. 18-67 CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 35 NO. 22 - 01 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR. 16 NO. 31-41 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 55 N. 17A-94 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 16 # 30 - 56 Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;CR. 20 NO. 31-89 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CRA 17 A NO 28-43  B. ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 31 NO. 18-53 HOTEL MANSION REAL Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CLL 31 NO. 21-90 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 32 # 21 - 65 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 # 57 - 29 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;BOULEVAR SANTANDER # 22 - 33 Y 22 - 31 PISO 1 - 2 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CLL. 55 NO. 18-60 RICAUTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 23 # 30 - 16 BARRIO ANTONIA SANTOS CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 31 # 20 - 49 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 52 # 72 - 138 BARRIO LAGOS DEL CACIQUE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 31 NO. 21-54 B. ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CRA 17 A NO 24 - 48 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 NO 17A 33 B. RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 17 A - 45 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 # 55 - 25 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 31 NO. 21-73 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 15 NO. 33-34 CENTRO Bucaramanga SANTANDER Colombia
Alojamiento Rural;CL. 62 NO. 2AW-40 BARRIO MUTIS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 34 # 16-62 CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CRA. 17C # 55-40 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
