Localidad;Tipo de propiedad;Direccion
ANTONIO NARIÑO;EDIFICIO RESIDENCIAL;KR10Bis#15-64SUR EDIFICIO 15 64 PROPIEDAD HORIZONTAL Bogota Colombia
ANTONIO NARIÑO;CONJUNTO CERRADO;KR13#8-14SUR EDIFICIO BOLAÑOS PH Bogota Colombia
ANTONIO NARIÑO;CENTRO EMPRESARIAL;CL19SUR#28-cra15 BODEGAS TERRANOVA PH Bogota Colombia
ANTONIO NARIÑO;EDIFICIO MULTIFAMILIAR;CL18SUR#12-16ED EDIFICIO GEORGINA Bogota Colombia
ANTONIO NARIÑO;AGRUPACIÓN MULTIFAMILIAR;CL38#34B-48SURAGCJAG CONJUNTO AGRUPACION MULTIFAMILIAR VILLA PAZ Bogota Colombia
ANTONIO NARIÑO;EDIFICIO MULTIFAMILIAR;KR10#19-53SUR TOLEDO PH  Bogota Colombia
ANTONIO NARIÑO;AGRUPACIÓN DE VIVIENDA;CL17SUR#30-51  SARGENTO PAEZ PABON Bogota Colombia
ANTONIO NARIÑO;AGRUPACIÓN;CL10BSUR#20-35 LUNA PARK II SECTOR Bogota Colombia
ANTONIO NARIÑO;CONJUNTO RESIDENCIAL;CL8SUR#10-32 EDIFICIO FUCHA Bogota Colombia
ANTONIO NARIÑO;AGRUPACIÓN MULTIFAMILIAR;CL38SUR#34B-48CJAG CONJUNTO AGRUPACIÃN MULTIFAMILIAR  VILLA PAZ Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;KR29#28-49SUREDSALONIAD1  SALONI Bogota Colombia
ANTONIO NARIÑO;CONJUNTO CERRADO;CL10BBis#16-43SUR UNIDAD RESIDENCIAL LUNA PARK UREPARK Bogota Colombia
ANTONIO NARIÑO;EDIFICIO RESIDENCIAS;CL17SUR#28-47 EDIFICIO CAPRI PH Bogota Colombia
ANTONIO NARIÑO;AGRUPACIÓN DE VIVIENDA;CARRERA14A#11-14SUR AGRUPACION DE VIVIENDA LUNAPARK AVILUPARK PH Bogota Colombia
ANTONIO NARIÑO;CONJUNTO RESIDENCIAL;CL13SUR#24H-54  RESERVA DEL RESTREPO Bogota Colombia
ANTONIO NARIÑO;CONJUNTO RESIDENCIAL;KR24D#11-80SUR CONJUNTO RESIDENCIAL CAMPIÃÂA DEL RESTREPO NUEVA GENERACION Bogota Colombia
ANTONIO NARIÑO;APARTAMENTOS;DG46SUR#50-22AD VISTA MAYOR PH Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;KR24A#16C-22SUR  BECHARA Bogota Colombia
ANTONIO NARIÑO;EDIFICIO;KR24G#13-44SUR  VILANOVA IV ETAPA I - ETAPA II Bogota Colombia
ANTONIO NARIÑO;APARTAMENTOS;CL13SUR#24G-38 CONJUNTO SANTA ISABEL DEL RESTREPO PROPIEDAD HORIZONTAL Bogota Colombia
ANTONIO NARIÑO;CENTRO COMERCIAL;KR19#18-40 CENTRO COMERCIAL PASAJE INTERNACIONAL PH Bogota Colombia
ANTONIO NARIÑO;APARTAMENTOS;CL12ASUR#29D-46 EDIFICIO DIANA LULIETH PROPIEDAD HORIZONTAL Bogota Colombia
ANTONIO NARIÑO;CONJUNTO RESIDENCIAL;KR34Bis#38-76SURCJ CONJUNTO RESIDENCIAL VERONA Bogota Colombia
ANTONIO NARIÑO;COPROPIEDAD;KR12#5-39SUR EDIFICIO BERNA PH Bogota Colombia
ANTONIO NARIÑO;CONJUNTO CLUB RESIDENCIAL;KR24D#2-30 DIMITO PAR  Bogota Colombia
ANTONIO NARIÑO;AGRUPACIÓN DE VIVIENDA;KR34D#38-60SUR CENTAUROS PROPIEDAD HORIZONTAL Bogota Colombia
