Localidad,Tipo de propiedad,Direccion,latitud,longitud
ANTONIO NARIÑO,EDIFICIO RESIDENCIAL,KR10Bis#15-64SUR EDIFICIO 15 64 PROPIEDAD HORIZONTAL Bogota Colombia,4.5793627,-74.092669
ANTONIO NARIÑO,CONJUNTO CERRADO,KR13#8-14SUR EDIFICIO BOLAÑOS PH Bogota Colombia,4.586788299999999,-74.0924883
ANTONIO NARIÑO,CENTRO EMPRESARIAL,CL19SUR#28-cra15 BODEGAS TERRANOVA PH Bogota Colombia,4.5910495,-74.1088548
ANTONIO NARIÑO,EDIFICIO MULTIFAMILIAR,CL18SUR#12-16ED EDIFICIO GEORGINA Bogota Colombia,4.5853558,-74.101875
ANTONIO NARIÑO,AGRUPACIÓN MULTIFAMILIAR,CL38#34B-48SURAGCJAG CONJUNTO AGRUPACION MULTIFAMILIAR VILLA PAZ Bogota Colombia,4.710988599999999,-74.072092
ANTONIO NARIÑO,EDIFICIO MULTIFAMILIAR,KR10#19-53SUR TOLEDO PH  Bogota Colombia,4.5765914,-74.0944643
ANTONIO NARIÑO,AGRUPACIÓN DE VIVIENDA,CL17SUR#30-51  SARGENTO PAEZ PABON Bogota Colombia,4.5968642,-74.11038789999999
ANTONIO NARIÑO,AGRUPACIÓN,CL10BSUR#20-35 LUNA PARK II SECTOR Bogota Colombia,4.5872872,-74.09695
ANTONIO NARIÑO,CONJUNTO RESIDENCIAL,CL8SUR#10-32 EDIFICIO FUCHA Bogota Colombia,4.5841628,-74.0888835
ANTONIO NARIÑO,AGRUPACIÓN MULTIFAMILIAR,CL38SUR#34B-48CJAG CONJUNTO AGRUPACIÃN MULTIFAMILIAR  VILLA PAZ Bogota Colombia,,
ANTONIO NARIÑO,EDIFICIO,KR29#28-49SUREDSALONIAD1  SALONI Bogota Colombia,4.5899926,-74.11311789999999
ANTONIO NARIÑO,CONJUNTO CERRADO,CL10BBis#16-43SUR UNIDAD RESIDENCIAL LUNA PARK UREPARK Bogota Colombia,4.587683,-74.0975583
ANTONIO NARIÑO,EDIFICIO RESIDENCIAS,CL17SUR#28-47 EDIFICIO CAPRI PH Bogota Colombia,4.5932146,-74.107777
ANTONIO NARIÑO,AGRUPACIÓN DE VIVIENDA,CARRERA14A#11-14SUR AGRUPACION DE VIVIENDA LUNAPARK AVILUPARK PH Bogota Colombia,4.5860202,-74.0954611
ANTONIO NARIÑO,CONJUNTO RESIDENCIAL,CL13SUR#24H-54  RESERVA DEL RESTREPO Bogota Colombia,4.5931828,-74.10308280000001
ANTONIO NARIÑO,CONJUNTO RESIDENCIAL,KR24D#11-80SUR CONJUNTO RESIDENCIAL CAMPIÃÂA DEL RESTREPO NUEVA GENERACION Bogota Colombia,,
ANTONIO NARIÑO,APARTAMENTOS,DG46SUR#50-22AD VISTA MAYOR PH Bogota Colombia,4.5827435,-74.1294792
ANTONIO NARIÑO,EDIFICIO,KR24A#16C-22SUR  BECHARA Bogota Colombia,4.5661618,-74.0862937
