nombre,lat,lon,Abandoned,Administration,Agrarian,Alcohol,Antiques,Apartments,Appliance,Art,Arts Centre,Atm,Baby Goods,Bag,Bakery,Bakery Vegan Bakery Vegan,Baking Oven,Bank,Bar,Barn,Bathroom Furnishing,Beauty,Bed,Beverages,Bicycle,Bicycle Rental,Bicycle Rental;Toilets,Bookmaker,Books,Boutique,Bridge,Bridleway,Buil,Building Materials,Bus Station,Bus Stop,Busway,Butcher,Cabinet Maker,Cafe,Cake,Candles,Cannabis,Car,Car Parts,Car Rental,Car Repair,Car Wash,Carpet,Casino,Chapel,Charity,Cheese,Chemist,Childcare,Chocolate,Church,Cinema,Civic,Clinic,Clothes,Coffee,Collector,College,Commercial,Community Centre,Computer,Confectionery,Conference Centre,Construction,Convenience,Copyshop,Corridor,Cosmetics,Courthouse,Craft,Crematorium,Curtain,Cycleway,Dairy,Deli,Dentist,Department Store,Desechables,Detached,Doctors,Doityourself,Dojo,Driving School,Dry Cleaning,E-Cigarette,Electrical,Electronics,Elevator,Erotic,Events Venue,Exhibition Centre,Fabric,Farm,Farmacia,Fashion Accessories,Fast Food,Fincanon & Cia,Fire Station,Fishing,Flooring,Florist,Food,Food Court,Footway,Frame,Frozen Food,Fuel,Funeral Directors,Funeral Hall,Furniture,Garage,Garages,Garden Centre,Gas,Gatehouse,General,Gift,Glaziery,Golf,Government,Grandstand,Greengrocer,Greenhouse,Grocery,Hairdresser,Handicraft,Hangar,Hardware,Health Food,Hearing Aids,Herbalist,Hifi,Hobby,Hospital,Hotel,House,Household,Household Linen,Houseware,Hut,Ice Cream,Industrial,Interior Decoration,Internet Cafe,Jewelry,Juice Bar,Kindergarten,Kiosk,Kitchen,Ladder,Language School,Laundry,Leather,Library,Licorera,Lighting,Living Street,Locksmith,Lottery,Love Hotel,Mall,Marketplace,Massage,Medical Supply,Mensajería Y Domicilios,Mobile Phone,Monastery,Money Lender,Money Transfer,Mortuary,Motorcycle,Motorcycle Parking,Motorcycle Repair,Music,Music School,Musical Instrument,Newsagent,Nightclub,No,Nursing Home,Nutrition Supplements,Office,Optician,Outbuilding,Outdoor,Paga Todo,Paint,Park,Parking,Parking Entrance,Party,Pasta,Pastry,Path,Pawnbroker,Payment Centre,Payment Terminal,Pedestrian,Perfumery,Pet,Pet Grooming,Pharmacy,Photo,Photo Studio,Pitch,Place Of Worship,Planetarium,Platform,Police,Pool,Posgrados Universidad Santo Tomas,Post Office,Pottery,Primary,Primary Link,Printer Ink,Printing,Proposed,Pub,Public,Public Bath,Public Building,Raceway,Radiotechnics,Recycling,Religion,Repair,Residential,Residential;Yes,Restaurant,Retail,Roof,Ruins,School,Scrapyard,Seafood,Second Hand,Secondary,Secondary Link,Semidetached House,Service,Services,Sewing,Shed,Shelter,Shoes,Social Centre,Social Facility,Spices,Sports,Sports Centre,Sports Hall,Stadium,Station,Stationery,Steps,Storage Rental,Storage Tank,Studio,Supermarket,Swimming Pool,Tailor,Tattoo,Taxi,Tea,Tecnologia,Telecommunication,Temple,Terrace,Tertiary,Tertiary Link,Theatre,Ticket,Tiles,Tobacco,Toilets,Townhall,Toys,Track,Trade,Train Station,Transportation,Travel Agency,Trunk,Trunk Link,Tyres,Unclassified,University,Vacant,Variety Store,Vehicle Inspection,Veterinary,Video,Video Games,Warehouse,Watches,Water Tank,Water Tower,Wholesale,Window Blind,Wine,Yes,tipo
Rock & Wine,7.1188058,-73.11768479999999,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,15,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,96,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,11,0,0,0,16,0,0,0,30,6,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,0,0,5,0,1,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,ZonaBares
La Esquinita,7.116634899999999,-73.1123841,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,13,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,3,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,27,0,0,0,16,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,2,0,0,0,0,2,4,1,0,0,5,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,ZonaBares
COCKTAILS AND DREAMS rock,7.105238099999999,-73.1135805,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,1,0,0,0,9,0,0,0,24,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,ZonaBares
La Cervecería zona rosa,7.1254,-73.11417999999999,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,81,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,12,0,0,0,15,0,0,0,13,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ZonaBares
Rock Music Club,7.1190202,-73.1174664,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,96,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,12,0,0,0,17,0,0,0,30,6,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,0,0,5,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,ZonaBares
Boissons Pub.,7.115392699999999,-73.1088748,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,0,0,1,2,0,0,0,0,0,2,0,0,1,1,0,0,0,10,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,12,4,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,18,0,0,0,12,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,2,0,0,0,0,1,13,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,ZonaBares
Five Points Gastro Bar,7.117726900000001,-73.10941079999999,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,16,3,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,19,0,0,0,15,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,2,0,0,0,0,1,15,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,ZonaBares
ROCK COCO BAR,7.107489999999999,-73.1144119,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,2,0,0,0,11,0,0,0,25,3,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ZonaBares
Casa cultural Ya me Amañé Bar,7.1096811,-73.1205812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,53,0,3,0,0,0,8,0,0,0,40,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,ZonaBares
El Sombrero Taberna Show,7.123287599999999,-73.11190560000001,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,19,0,0,0,5,0,0,0,13,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ZonaBares
